Trial,FailNode,Epoch1_ms,NVMe_ms,PFS_ms,Speedup_pct,Moved,A,B,C
1,NodeB,496,80,177,54.8023,202,116,85,107
2,NodeB,762,272,281,3.20285,202,116,85,107
3,NodeB,373,32,157,79.6178,202,116,85,107
4,NodeB,1263,238,671,64.5306,202,116,85,107
5,NodeB,862,133,266,50,202,116,85,107
6,NodeB,459,46,284,83.8028,202,116,85,107
7,NodeB,742,410,617,33.5494,202,116,85,107
8,NodeB,446,123,373,67.0241,202,116,85,107
9,NodeB,630,43,183,76.5027,202,116,85,107
10,NodeB,877,75,465,83.871,202,116,85,107
11,NodeA,1178,159,351,54.7009,211,116,85,107
12,NodeA,936,111,488,77.2541,211,116,85,107
13,NodeA,876,238,452,47.3451,211,116,85,107
14,NodeA,1071,83,354,76.5537,211,116,85,107
15,NodeA,464,59,251,76.494,211,116,85,107
16,NodeA,905,176,274,35.7664,211,116,85,107
17,NodeA,401,87,161,45.9627,211,116,85,107
18,NodeA,488,127,296,57.0946,211,116,85,107
19,NodeA,505,80,156,48.7179,211,116,85,107
20,NodeA,481,42,134,68.6567,211,116,85,107
21,NodeC,812,42,323,86.9969,214,116,85,107
22,NodeC,796,31,279,88.8889,214,116,85,107
23,NodeC,320,30,112,73.2143,214,116,85,107
24,NodeC,856,245,140,-75,214,116,85,107
25,NodeC,748,255,421,39.4299,214,116,85,107
26,NodeC,419,57,181,68.5083,214,116,85,107
27,NodeC,347,86,151,43.0464,214,116,85,107
28,NodeC,476,180,158,-13.9241,214,116,85,107
29,NodeC,525,200,417,52.0384,214,116,85,107
30,NodeC,393,49,315,84.4444,214,116,85,107
31,NodeC,674,245,232,-5.60345,214,116,85,107
32,NodeC,1090,271,523,48.1836,214,116,85,107
33,NodeC,1119,255,543,53.0387,214,116,85,107
34,NodeC,1234,148,657,77.4734,214,116,85,107
35,NodeC,1046,276,388,28.866,214,116,85,107
36,NodeC,1212,204,567,64.0212,214,116,85,107
37,NodeC,728,124,251,50.5976,214,116,85,107
